,method,problem,tol,dt,quad_nodes,nvars,new_max,sdc_sum,new_sum,norm
0,sdc_newton,allencahn,1e-12,0.0005,5,"(64, 64)",1,306,306,2.851052727237402e-13
1,sdc_newton,allencahn,1e-12,0.0005,5,"(64, 64)",2,289,578,5.539457781367219e-13
2,sdc_newton,allencahn,1e-12,0.0005,5,"(64, 64)",3,289,642,5.540012892879531e-13
3,sdc_newton,allencahn,1e-12,0.0005,5,"(64, 64)",5,289,664,5.540012892879531e-13
4,sdc_newton,allencahn,1e-12,0.0005,5,"(64, 64)",7,289,665,5.540012892879531e-13
5,sdc_newton,allencahn,1e-12,0.0005,5,"(64, 64)",100,289,665,5.540012892879531e-13
6,sdc_newton,allencahn,1e-12,0.0005,5,"(128, 128)",1,309,309,3.383959779057477e-13
7,sdc_newton,allencahn,1e-12,0.0005,5,"(128, 128)",2,301,602,1.6342482922482304e-13
8,sdc_newton,allencahn,1e-12,0.0005,5,"(128, 128)",3,301,710,1.6409096303959814e-13
9,sdc_newton,allencahn,1e-12,0.0005,5,"(128, 128)",5,301,732,1.637578961322106e-13
10,sdc_newton,allencahn,1e-12,0.0005,5,"(128, 128)",7,301,733,1.637578961322106e-13
11,sdc_newton,allencahn,1e-12,0.0005,5,"(128, 128)",100,301,733,1.637578961322106e-13
12,sdc_newton,allencahn,1e-12,0.0005,5,"(256, 256)",1,310,310,3.58268970046538e-13
13,sdc_newton,allencahn,1e-12,0.0005,5,"(256, 256)",2,307,614,1.8129941992128806e-13
14,sdc_newton,allencahn,1e-12,0.0005,5,"(256, 256)",3,307,730,1.8129941992128806e-13
15,sdc_newton,allencahn,1e-12,0.0005,5,"(256, 256)",5,307,752,1.8107737531636303e-13
16,sdc_newton,allencahn,1e-12,0.0005,5,"(256, 256)",7,307,753,1.8107737531636303e-13
17,sdc_newton,allencahn,1e-12,0.0005,5,"(256, 256)",100,307,753,1.8107737531636303e-13
18,sdc_newton,allencahn,1e-12,0.0005,7,"(64, 64)",1,332,332,3.954198080080573e-13
19,sdc_newton,allencahn,1e-12,0.0005,7,"(64, 64)",2,314,628,3.073652443674746e-13
20,sdc_newton,allencahn,1e-12,0.0005,7,"(64, 64)",3,314,712,3.0742075551870585e-13
21,sdc_newton,allencahn,1e-12,0.0005,7,"(64, 64)",5,314,734,3.0730973321624333e-13
22,sdc_newton,allencahn,1e-12,0.0005,7,"(64, 64)",7,314,734,3.0730973321624333e-13
23,sdc_newton,allencahn,1e-12,0.0005,7,"(64, 64)",100,314,734,3.0730973321624333e-13
24,sdc_newton,allencahn,1e-12,0.0005,7,"(128, 128)",1,368,368,1.857403120197887e-13
