,method,problem,tol,dt,quad_nodes,nvars,new_max,sdc_sum,new_sum,norm
0,sdc_newton,fisher,1e-12,0.005,5,63,1,179,159,2.4554902477796903e-05
1,sdc_newton,fisher,1e-12,0.005,5,63,2,179,318,2.4554902477769147e-05
2,sdc_newton,fisher,1e-12,0.005,5,63,3,179,377,2.4554902477769147e-05
3,sdc_newton,fisher,1e-12,0.005,5,63,5,179,397,2.4554902477769147e-05
4,sdc_newton,fisher,1e-12,0.005,5,63,7,179,397,2.4554902477769147e-05
5,sdc_newton,fisher,1e-12,0.005,5,63,100,179,397,2.4554902477769147e-05
6,sdc_newton,fisher,1e-12,0.005,5,127,1,285,265,6.161686410516287e-06
7,sdc_newton,fisher,1e-12,0.005,5,127,2,295,550,6.161686410516287e-06
8,sdc_newton,fisher,1e-12,0.005,5,127,3,295,632,6.161686410544043e-06
9,sdc_newton,fisher,1e-12,0.005,5,127,5,295,650,6.161686410544043e-06
10,sdc_newton,fisher,1e-12,0.005,5,127,7,295,650,6.161686410544043e-06
11,sdc_newton,fisher,1e-12,0.005,5,127,100,295,650,6.161686410544043e-06
12,sdc_newton,fisher,1e-12,0.005,5,255,1,378,358,1.5412943607517882e-06
13,sdc_newton,fisher,1e-12,0.005,5,255,2,378,716,1.5412943607517882e-06
14,sdc_newton,fisher,1e-12,0.005,5,255,3,378,892,1.5412943607517882e-06
15,sdc_newton,fisher,1e-12,0.005,5,255,5,378,912,1.5412943607517882e-06
16,sdc_newton,fisher,1e-12,0.005,5,255,7,378,912,1.5412943607517882e-06
17,sdc_newton,fisher,1e-12,0.005,5,255,100,378,912,1.5412943607517882e-06
18,sdc_newton,fisher,1e-12,0.005,7,63,1,160,140,2.455490247774139e-05
19,sdc_newton,fisher,1e-12,0.005,7,63,2,160,280,2.4554902477796903e-05
20,sdc_newton,fisher,1e-12,0.005,7,63,3,160,340,2.4554902477796903e-05
21,sdc_newton,fisher,1e-12,0.005,7,63,5,160,340,2.4554902477796903e-05
22,sdc_newton,fisher,1e-12,0.005,7,63,7,160,340,2.4554902477796903e-05
23,sdc_newton,fisher,1e-12,0.005,7,63,100,160,340,2.4554902477796903e-05
24,sdc_newton,fisher,1e-12,0.005,7,127,1,265,245,6.161686410516287e-06
25,sdc_newton,fisher,1e-12,0.005,7,127,2,263,486,6.161686410544043e-06
26,sdc_newton,fisher,1e-12,0.005,7,127,3,263,565,6.161686410544043e-06
27,sdc_newton,fisher,1e-12,0.005,7,127,5,263,584,6.161686410544043e-06
28,sdc_newton,fisher,1e-12,0.005,7,127,7,263,584,6.161686410544043e-06
29,sdc_newton,fisher,1e-12,0.005,7,127,100,263,584,6.161686410544043e-06
30,sdc_newton,fisher,1e-12,0.005,7,255,1,437,417,1.541294360696277e-06
31,sdc_newton,fisher,1e-12,0.005,7,255,2,437,834,1.541294360696277e-06
32,sdc_newton,fisher,1e-12,0.005,7,255,3,437,1011,1.5412943607795437e-06
33,sdc_newton,fisher,1e-12,0.005,7,255,5,437,1031,1.5412943607795437e-06
34,sdc_newton,fisher,1e-12,0.005,7,255,7,437,1031,1.5412943607795437e-06
35,sdc_newton,fisher,1e-12,0.005,7,255,100,437,1031,1.5412943607795437e-06
36,sdc_newton,fisher,1e-12,0.005,9,63,1,159,139,2.4554902477769147e-05
37,sdc_newton,fisher,1e-12,0.005,9,63,2,159,278,2.4554902477769147e-05
38,sdc_newton,fisher,1e-12,0.005,9,63,3,159,338,2.4554902477769147e-05
39,sdc_newton,fisher,1e-12,0.005,9,63,5,159,341,2.4554902477769147e-05
40,sdc_newton,fisher,1e-12,0.005,9,63,7,159,341,2.4554902477769147e-05
41,sdc_newton,fisher,1e-12,0.005,9,63,100,159,341,2.4554902477769147e-05
42,sdc_newton,fisher,1e-12,0.005,9,127,1,233,213,6.161686410516287e-06
43,sdc_newton,fisher,1e-12,0.005,9,127,2,232,424,6.161686410544043e-06
44,sdc_newton,fisher,1e-12,0.005,9,127,3,232,523,6.161686410544043e-06
45,sdc_newton,fisher,1e-12,0.005,9,127,5,232,523,6.161686410544043e-06
46,sdc_newton,fisher,1e-12,0.005,9,127,7,232,523,6.161686410544043e-06
47,sdc_newton,fisher,1e-12,0.005,9,127,100,232,523,6.161686410544043e-06
48,sdc_newton,fisher,1e-12,0.005,9,255,1,476,456,1.5412943607795437e-06
49,sdc_newton,fisher,1e-12,0.005,9,255,2,477,914,1.541294360696277e-06
50,sdc_newton,fisher,1e-12,0.005,9,255,3,477,1079,1.5412943606685214e-06
51,sdc_newton,fisher,1e-12,0.005,9,255,5,477,1099,1.5412943606685214e-06
52,sdc_newton,fisher,1e-12,0.005,9,255,7,477,1099,1.5412943606685214e-06
53,sdc_newton,fisher,1e-12,0.005,9,255,100,477,1099,1.5412943606685214e-06
54,sdc_newton,fisher,1e-12,0.0005,5,63,1,999,799,2.455490247718628e-05
55,sdc_newton,fisher,1e-12,0.0005,5,63,2,999,1598,2.455490247718628e-05
56,sdc_newton,fisher,1e-12,0.0005,5,63,3,999,1798,2.455490247718628e-05
57,sdc_newton,fisher,1e-12,0.0005,5,63,5,999,1798,2.455490247718628e-05
58,sdc_newton,fisher,1e-12,0.0005,5,63,7,999,1798,2.455490247718628e-05
59,sdc_newton,fisher,1e-12,0.0005,5,63,100,999,1798,2.455490247718628e-05
60,sdc_newton,fisher,1e-12,0.0005,5,127,1,1200,1000,6.161686410488532e-06
61,sdc_newton,fisher,1e-12,0.0005,5,127,2,1200,2000,6.161686410460776e-06
62,sdc_newton,fisher,1e-12,0.0005,5,127,3,1200,2200,6.161686410460776e-06
63,sdc_newton,fisher,1e-12,0.0005,5,127,5,1200,2200,6.161686410460776e-06
64,sdc_newton,fisher,1e-12,0.0005,5,127,7,1200,2200,6.161686410460776e-06
65,sdc_newton,fisher,1e-12,0.0005,5,127,100,1200,2200,6.161686410460776e-06
66,sdc_newton,fisher,1e-12,0.0005,5,255,1,1799,1599,1.5412943608628105e-06
67,sdc_newton,fisher,1e-12,0.0005,5,255,2,1799,3198,1.5412943607517882e-06
68,sdc_newton,fisher,1e-12,0.0005,5,255,3,1799,3658,1.5412943607517882e-06
69,sdc_newton,fisher,1e-12,0.0005,5,255,5,1799,3658,1.5412943607517882e-06
70,sdc_newton,fisher,1e-12,0.0005,5,255,7,1799,3658,1.5412943607517882e-06
71,sdc_newton,fisher,1e-12,0.0005,5,255,100,1799,3658,1.5412943607517882e-06
72,sdc_newton,fisher,1e-12,0.0005,7,63,1,999,799,2.4554902477769147e-05
73,sdc_newton,fisher,1e-12,0.0005,7,63,2,999,1598,2.4554902477769147e-05
74,sdc_newton,fisher,1e-12,0.0005,7,63,3,999,1944,2.4554902477769147e-05
75,sdc_newton,fisher,1e-12,0.0005,7,63,5,999,1944,2.4554902477769147e-05
76,sdc_newton,fisher,1e-12,0.0005,7,63,7,999,1944,2.4554902477769147e-05
77,sdc_newton,fisher,1e-12,0.0005,7,63,100,999,1944,2.4554902477769147e-05
78,sdc_newton,fisher,1e-12,0.0005,7,127,1,1199,999,6.161686410516287e-06
79,sdc_newton,fisher,1e-12,0.0005,7,127,2,1199,1998,6.161686410516287e-06
80,sdc_newton,fisher,1e-12,0.0005,7,127,3,1199,2398,6.161686410516287e-06
81,sdc_newton,fisher,1e-12,0.0005,7,127,5,1199,2398,6.161686410516287e-06
82,sdc_newton,fisher,1e-12,0.0005,7,127,7,1199,2398,6.161686410516287e-06
83,sdc_newton,fisher,1e-12,0.0005,7,127,100,1199,2398,6.161686410516287e-06
84,sdc_newton,fisher,1e-12,0.0005,7,255,1,1633,1433,1.5412943607517882e-06
85,sdc_newton,fisher,1e-12,0.0005,7,255,2,1629,2858,1.5412943607517882e-06
86,sdc_newton,fisher,1e-12,0.0005,7,255,3,1629,3258,1.5412943607517882e-06
87,sdc_newton,fisher,1e-12,0.0005,7,255,5,1629,3258,1.5412943607517882e-06
88,sdc_newton,fisher,1e-12,0.0005,7,255,7,1629,3258,1.5412943607517882e-06
89,sdc_newton,fisher,1e-12,0.0005,7,255,100,1629,3258,1.5412943607517882e-06
90,sdc_newton,fisher,1e-12,0.0005,9,63,1,1000,800,2.4554902478657326e-05
91,sdc_newton,fisher,1e-12,0.0005,9,63,2,1000,1600,2.4554902478601814e-05
92,sdc_newton,fisher,1e-12,0.0005,9,63,3,1000,2000,2.4554902478601814e-05
93,sdc_newton,fisher,1e-12,0.0005,9,63,5,1000,2000,2.4554902478601814e-05
94,sdc_newton,fisher,1e-12,0.0005,9,63,7,1000,2000,2.4554902478601814e-05
95,sdc_newton,fisher,1e-12,0.0005,9,63,100,1000,2000,2.4554902478601814e-05
96,sdc_newton,fisher,1e-12,0.0005,9,127,1,1200,1000,6.1616864104330205e-06
97,sdc_newton,fisher,1e-12,0.0005,9,127,2,1200,2000,6.161686410488532e-06
