,method,problem,tol,dt,quad_nodes,nvars,sdc_max,sdc_sum,new_sum,norm
0,newton_sdc,allencahn,1e-12,0.0005,2,"(64, 64)",1,187,207,2.2793413507748994e-06
1,newton_sdc,allencahn,1e-12,0.0005,2,"(64, 64)",2,206,122,2.279341276834046e-06
2,newton_sdc,allencahn,1e-12,0.0005,2,"(64, 64)",3,227,83,2.279341235755794e-06
3,newton_sdc,allencahn,1e-12,0.0005,2,"(64, 64)",5,290,62,2.2793410917598678e-06
4,newton_sdc,allencahn,1e-12,0.0005,2,"(64, 64)",10,444,62,2.2793411122989937e-06
5,newton_sdc,allencahn,1e-12,0.0005,2,"(64, 64)",20,454,62,2.2793411122989937e-06
6,newton_sdc,allencahn,1e-12,0.0005,2,"(128, 128)",1,185,205,2.263096499199868e-06
7,newton_sdc,allencahn,1e-12,0.0005,2,"(128, 128)",2,205,122,2.263096422816524e-06
8,newton_sdc,allencahn,1e-12,0.0005,2,"(128, 128)",3,227,83,2.2630963877334764e-06
9,newton_sdc,allencahn,1e-12,0.0005,2,"(128, 128)",5,290,62,2.263096280707977e-06
10,newton_sdc,allencahn,1e-12,0.0005,2,"(128, 128)",10,443,62,2.2630962990266568e-06
11,newton_sdc,allencahn,1e-12,0.0005,2,"(128, 128)",20,452,62,2.263096299137679e-06
12,newton_sdc,allencahn,1e-12,0.0005,2,"(256, 256)",1,185,205,2.2604050821106725e-06
13,newton_sdc,allencahn,1e-12,0.0005,2,"(256, 256)",2,205,122,2.2604050082808413e-06
14,newton_sdc,allencahn,1e-12,0.0005,2,"(256, 256)",3,227,83,2.260404972864727e-06
15,newton_sdc,allencahn,1e-12,0.0005,2,"(256, 256)",5,290,62,2.2604048655061604e-06
16,newton_sdc,allencahn,1e-12,0.0005,2,"(256, 256)",10,442,62,2.260404882270528e-06
17,newton_sdc,allencahn,1e-12,0.0005,2,"(256, 256)",20,451,62,2.2604048821595057e-06
18,newton_sdc,allencahn,1e-12,0.0005,3,"(64, 64)",1,243,263,4.205111120425542e-09
19,newton_sdc,allencahn,1e-12,0.0005,3,"(64, 64)",2,264,142,4.20506618414862e-09
20,newton_sdc,allencahn,1e-12,0.0005,3,"(64, 64)",3,286,102,4.20505738563115e-09
21,newton_sdc,allencahn,1e-12,0.0005,3,"(64, 64)",5,330,82,4.205050224692641e-09
22,newton_sdc,allencahn,1e-12,0.0005,3,"(64, 64)",10,519,62,4.2052834547945395e-09
23,newton_sdc,allencahn,1e-12,0.0005,3,"(64, 64)",20,574,62,4.205283649083569e-09
24,newton_sdc,allencahn,1e-12,0.0005,3,"(128, 128)",1,242,262,3.911093698905077e-09
25,newton_sdc,allencahn,1e-12,0.0005,3,"(128, 128)",2,264,142,3.911047347093799e-09
26,newton_sdc,allencahn,1e-12,0.0005,3,"(128, 128)",3,286,102,3.911038382042875e-09
27,newton_sdc,allencahn,1e-12,0.0005,3,"(128, 128)",5,330,82,3.9110298333255855e-09
28,newton_sdc,allencahn,1e-12,0.0005,3,"(128, 128)",10,519,62,3.9112581506906e-09
29,newton_sdc,allencahn,1e-12,0.0005,3,"(128, 128)",20,573,62,3.911258539268658e-09
30,newton_sdc,allencahn,1e-12,0.0005,3,"(256, 256)",1,241,261,3.844882856540721e-09
31,newton_sdc,allencahn,1e-12,0.0005,3,"(256, 256)",2,264,142,3.8448382810862824e-09
32,newton_sdc,allencahn,1e-12,0.0005,3,"(256, 256)",3,286,102,3.844829676857842e-09
33,newton_sdc,allencahn,1e-12,0.0005,3,"(256, 256)",5,330,82,3.844821877541094e-09
34,newton_sdc,allencahn,1e-12,0.0005,3,"(256, 256)",10,519,62,3.845050833284347e-09
35,newton_sdc,allencahn,1e-12,0.0005,3,"(256, 256)",20,573,62,3.845050999817801e-09
36,newton_sdc,allencahn,1e-12,0.0005,4,"(64, 64)",1,264,284,1.1816603251446622e-11
37,newton_sdc,allencahn,1e-12,0.0005,4,"(64, 64)",2,285,162,1.193700693846722e-11
38,newton_sdc,allencahn,1e-12,0.0005,4,"(64, 64)",3,305,121,1.1963319224150837e-11
39,newton_sdc,allencahn,1e-12,0.0005,4,"(64, 64)",5,349,82,1.1979250924554208e-11
40,newton_sdc,allencahn,1e-12,0.0005,4,"(64, 64)",10,533,62,1.1647738329401136e-11
41,newton_sdc,allencahn,1e-12,0.0005,4,"(64, 64)",20,646,62,1.1646905662132667e-11
42,newton_sdc,allencahn,1e-12,0.0005,4,"(128, 128)",1,264,284,1.1302625502196406e-11
43,newton_sdc,allencahn,1e-12,0.0005,4,"(128, 128)",2,285,162,1.1426304347139649e-11
44,newton_sdc,allencahn,1e-12,0.0005,4,"(128, 128)",3,306,121,1.1234388419545382e-11
45,newton_sdc,allencahn,1e-12,0.0005,4,"(128, 128)",5,352,82,1.1238121544465685e-11
46,newton_sdc,allencahn,1e-12,0.0005,4,"(128, 128)",10,539,62,1.1286985235337e-11
47,newton_sdc,allencahn,1e-12,0.0005,4,"(128, 128)",20,655,62,1.1286818701883305e-11
48,newton_sdc,allencahn,1e-12,0.0005,4,"(256, 256)",1,264,284,1.1202816452282605e-11
49,newton_sdc,allencahn,1e-12,0.0005,4,"(256, 256)",2,285,162,1.1329881477450954e-11
50,newton_sdc,allencahn,1e-12,0.0005,4,"(256, 256)",3,307,121,1.1210574135667173e-11
51,newton_sdc,allencahn,1e-12,0.0005,4,"(256, 256)",5,352,82,1.121243375923342e-11
52,newton_sdc,allencahn,1e-12,0.0005,4,"(256, 256)",10,539,62,1.1255968379586534e-11
53,newton_sdc,allencahn,1e-12,0.0005,4,"(256, 256)",20,656,62,1.1255968379586534e-11
54,newton_sdc,allencahn,1e-12,0.0005,5,"(64, 64)",1,286,306,2.849942504212777e-13
55,newton_sdc,allencahn,1e-12,0.0005,5,"(64, 64)",2,305,163,5.053735208093713e-13
56,newton_sdc,allencahn,1e-12,0.0005,5,"(64, 64)",3,327,121,5.52891066263328e-13
57,newton_sdc,allencahn,1e-12,0.0005,5,"(64, 64)",5,372,82,1.504352198367087e-13
58,newton_sdc,allencahn,1e-12,0.0005,5,"(64, 64)",10,535,62,3.165800954718634e-13
59,newton_sdc,allencahn,1e-12,0.0005,5,"(64, 64)",20,694,62,3.198552533945076e-13
60,newton_sdc,allencahn,1e-12,0.0005,5,"(128, 128)",1,289,309,3.3872904481313526e-13
61,newton_sdc,allencahn,1e-12,0.0005,5,"(128, 128)",2,321,178,1.724176357242868e-13
62,newton_sdc,allencahn,1e-12,0.0005,5,"(128, 128)",3,345,123,1.9373391779708982e-13
63,newton_sdc,allencahn,1e-12,0.0005,5,"(128, 128)",5,387,82,1.965094753586527e-13
64,newton_sdc,allencahn,1e-12,0.0005,5,"(128, 128)",10,538,62,3.4977576390815557e-13
65,newton_sdc,allencahn,1e-12,0.0005,5,"(128, 128)",20,715,62,3.532729664357248e-13
66,newton_sdc,allencahn,1e-12,0.0005,5,"(256, 256)",1,290,310,3.5693670241698783e-13
67,newton_sdc,allencahn,1e-12,0.0005,5,"(256, 256)",2,325,182,1.8807178037150152e-13
68,newton_sdc,allencahn,1e-12,0.0005,5,"(256, 256)",3,345,123,2.1149748619109232e-13
69,newton_sdc,allencahn,1e-12,0.0005,5,"(256, 256)",5,387,82,2.141620214501927e-13
70,newton_sdc,allencahn,1e-12,0.0005,5,"(256, 256)",10,538,62,3.5610403514851896e-13
71,newton_sdc,allencahn,1e-12,0.0005,5,"(256, 256)",20,716,62,3.593236819199319e-13
72,newton_sdc,allencahn,1e-12,5e-05,2,"(64, 64)",1,1016,1216,2.559952472225291e-09
73,newton_sdc,allencahn,1e-12,5e-05,2,"(64, 64)",2,1019,613,2.561047818261386e-09
74,newton_sdc,allencahn,1e-12,5e-05,2,"(64, 64)",3,1211,601,2.5608237752550167e-09
75,newton_sdc,allencahn,1e-12,5e-05,2,"(64, 64)",5,1607,402,2.5607593823195884e-09
76,newton_sdc,allencahn,1e-12,5e-05,2,"(64, 64)",10,1624,402,2.560759271297286e-09
77,newton_sdc,allencahn,1e-12,5e-05,2,"(64, 64)",20,1624,402,2.560759271297286e-09
78,newton_sdc,allencahn,1e-12,5e-05,2,"(128, 128)",1,1016,1216,2.535353926802486e-09
79,newton_sdc,allencahn,1e-12,5e-05,2,"(128, 128)",2,1107,701,2.5350489485376215e-09
80,newton_sdc,allencahn,1e-12,5e-05,2,"(128, 128)",3,1234,602,2.535004872683544e-09
81,newton_sdc,allencahn,1e-12,5e-05,2,"(128, 128)",5,1625,403,2.5349531362905964e-09
82,newton_sdc,allencahn,1e-12,5e-05,2,"(128, 128)",10,1642,403,2.534952803223689e-09
83,newton_sdc,allencahn,1e-12,5e-05,2,"(128, 128)",20,1642,403,2.534952803223689e-09
84,newton_sdc,allencahn,1e-12,5e-05,2,"(256, 256)",1,1016,1216,2.5325863628467005e-09
85,newton_sdc,allencahn,1e-12,5e-05,2,"(256, 256)",2,1130,724,2.5322814956041384e-09
