,method,problem,tol,dt,quad_nodes,nvars,sdc_max,sdc_sum,new_sum,norm
0,newton_sdc,allencahn,1e-12,0.0005,2,63,1,21,83,2.5052895247235085e-06
1,newton_sdc,allencahn,1e-12,0.0005,2,63,2,21,83,2.5052895247235085e-06
2,newton_sdc,allencahn,1e-12,0.0005,2,63,3,21,83,2.5052895247235085e-06
3,newton_sdc,allencahn,1e-12,0.0005,2,63,5,21,83,2.5052895247235085e-06
4,newton_sdc,allencahn,1e-12,0.0005,2,63,10,21,83,2.5052895247235085e-06
5,newton_sdc,allencahn,1e-12,0.0005,2,63,20,21,83,2.5052895247235085e-06
6,newton_sdc,allencahn,1e-12,0.0005,2,127,1,21,123,6.272528792206078e-07
7,newton_sdc,allencahn,1e-12,0.0005,2,127,2,22,123,6.272528792206078e-07
8,newton_sdc,allencahn,1e-12,0.0005,2,127,3,22,123,6.272528792206078e-07
9,newton_sdc,allencahn,1e-12,0.0005,2,127,5,22,123,6.272528792206078e-07
10,newton_sdc,allencahn,1e-12,0.0005,2,127,10,22,123,6.272528792206078e-07
11,newton_sdc,allencahn,1e-12,0.0005,2,127,20,22,123,6.272528792206078e-07
12,newton_sdc,allencahn,1e-12,0.0005,2,255,1,22,165,1.5697960117910803e-07
13,newton_sdc,allencahn,1e-12,0.0005,2,255,2,23,165,1.569796012068636e-07
14,newton_sdc,allencahn,1e-12,0.0005,2,255,3,23,165,1.569796012068636e-07
15,newton_sdc,allencahn,1e-12,0.0005,2,255,5,23,165,1.569796012068636e-07
16,newton_sdc,allencahn,1e-12,0.0005,2,255,10,23,165,1.569796012068636e-07
17,newton_sdc,allencahn,1e-12,0.0005,2,255,20,23,165,1.569796012068636e-07
18,newton_sdc,allencahn,1e-12,0.0005,3,63,1,20,83,2.5052894614130405e-06
19,newton_sdc,allencahn,1e-12,0.0005,3,63,2,20,83,2.5052894614130405e-06
20,newton_sdc,allencahn,1e-12,0.0005,3,63,3,20,83,2.5052894614130405e-06
21,newton_sdc,allencahn,1e-12,0.0005,3,63,5,20,83,2.5052894614130405e-06
22,newton_sdc,allencahn,1e-12,0.0005,3,63,10,20,83,2.5052894614130405e-06
23,newton_sdc,allencahn,1e-12,0.0005,3,63,20,20,83,2.5052894614130405e-06
24,newton_sdc,allencahn,1e-12,0.0005,3,127,1,21,123,6.272528159101398e-07
25,newton_sdc,allencahn,1e-12,0.0005,3,127,2,22,123,6.272528159101398e-07
