,method,problem,tol,dt,quad_nodes,nvars,new_max,sdc_sum,new_sum,norm
0,sdc_newton,allencahn,1e-12,0.0005,2,"(64, 64)",1,207,207,2.2793413507748994e-06
1,sdc_newton,allencahn,1e-12,0.0005,2,"(64, 64)",2,205,410,2.2793417274735717e-06
2,sdc_newton,allencahn,1e-12,0.0005,2,"(64, 64)",3,205,492,2.2793417259192594e-06
3,sdc_newton,allencahn,1e-12,0.0005,2,"(64, 64)",5,205,514,2.2793417259192594e-06
4,sdc_newton,allencahn,1e-12,0.0005,2,"(64, 64)",10,205,515,2.2793417259192594e-06
5,sdc_newton,allencahn,1e-12,0.0005,2,"(64, 64)",20,205,515,2.2793417259192594e-06
6,sdc_newton,allencahn,1e-12,0.0005,2,"(128, 128)",1,205,205,2.263096491761374e-06
7,sdc_newton,allencahn,1e-12,0.0005,2,"(128, 128)",2,203,406,2.263096878341031e-06
8,sdc_newton,allencahn,1e-12,0.0005,2,"(128, 128)",3,202,485,2.2630968767867188e-06
9,sdc_newton,allencahn,1e-12,0.0005,2,"(128, 128)",5,202,507,2.263096876453652e-06
10,sdc_newton,allencahn,1e-12,0.0005,2,"(128, 128)",10,202,508,2.263096876453652e-06
11,sdc_newton,allencahn,1e-12,0.0005,2,"(128, 128)",20,202,508,2.263096876453652e-06
12,sdc_newton,allencahn,1e-12,0.0005,2,"(256, 256)",1,205,205,2.260405077558758e-06
13,sdc_newton,allencahn,1e-12,0.0005,2,"(256, 256)",2,203,406,2.2604054674690843e-06
14,sdc_newton,allencahn,1e-12,0.0005,2,"(256, 256)",3,202,503,2.260405465914772e-06
15,sdc_newton,allencahn,1e-12,0.0005,2,"(256, 256)",5,202,525,2.260405465581705e-06
16,sdc_newton,allencahn,1e-12,0.0005,2,"(256, 256)",10,202,526,2.260405465581705e-06
17,sdc_newton,allencahn,1e-12,0.0005,2,"(256, 256)",20,202,526,2.260405465581705e-06
18,sdc_newton,allencahn,1e-12,0.0005,3,"(64, 64)",1,263,263,4.205111092669966e-09
19,sdc_newton,allencahn,1e-12,0.0005,3,"(64, 64)",2,247,494,4.205139986224182e-09
20,sdc_newton,allencahn,1e-12,0.0005,3,"(64, 64)",3,247,566,4.205140236024363e-09
21,sdc_newton,allencahn,1e-12,0.0005,3,"(64, 64)",5,247,588,4.20514031929109e-09
22,sdc_newton,allencahn,1e-12,0.0005,3,"(64, 64)",10,247,589,4.20514031929109e-09
23,sdc_newton,allencahn,1e-12,0.0005,3,"(64, 64)",20,247,589,4.20514031929109e-09
24,sdc_newton,allencahn,1e-12,0.0005,3,"(128, 128)",1,262,262,3.911093560127199e-09
25,sdc_newton,allencahn,1e-12,0.0005,3,"(128, 128)",2,246,492,3.9111245075940104e-09
26,sdc_newton,allencahn,1e-12,0.0005,3,"(128, 128)",3,245,559,3.91112470188304e-09
27,sdc_newton,allencahn,1e-12,0.0005,3,"(128, 128)",5,245,581,3.911124590860737e-09
28,sdc_newton,allencahn,1e-12,0.0005,3,"(128, 128)",10,245,582,3.911124590860737e-09
29,sdc_newton,allencahn,1e-12,0.0005,3,"(128, 128)",20,245,582,3.911124590860737e-09
30,sdc_newton,allencahn,1e-12,0.0005,3,"(256, 256)",1,261,261,3.8448808858948524e-09
31,sdc_newton,allencahn,1e-12,0.0005,3,"(256, 256)",2,245,490,3.844911528050332e-09
32,sdc_newton,allencahn,1e-12,0.0005,3,"(256, 256)",3,244,587,3.844911805606088e-09
33,sdc_newton,allencahn,1e-12,0.0005,3,"(256, 256)",5,244,609,3.844911805606088e-09
34,sdc_newton,allencahn,1e-12,0.0005,3,"(256, 256)",10,244,610,3.844911805606088e-09
35,sdc_newton,allencahn,1e-12,0.0005,3,"(256, 256)",20,244,610,3.844911805606088e-09
36,sdc_newton,allencahn,1e-12,0.0005,4,"(64, 64)",1,284,284,1.1816603251446622e-11
37,sdc_newton,allencahn,1e-12,0.0005,4,"(64, 64)",2,282,564,1.1723289006226878e-11
38,sdc_newton,allencahn,1e-12,0.0005,4,"(64, 64)",3,282,643,1.172334451737811e-11
39,sdc_newton,allencahn,1e-12,0.0005,4,"(64, 64)",5,282,665,1.1723289006226878e-11
40,sdc_newton,allencahn,1e-12,0.0005,4,"(64, 64)",10,282,666,1.1723289006226878e-11
41,sdc_newton,allencahn,1e-12,0.0005,4,"(64, 64)",20,282,666,1.1723289006226878e-11
42,sdc_newton,allencahn,1e-12,0.0005,4,"(128, 128)",1,284,284,1.1302681013347637e-11
43,sdc_newton,allencahn,1e-12,0.0005,4,"(128, 128)",2,284,568,1.1216916284695344e-11
44,sdc_newton,allencahn,1e-12,0.0005,4,"(128, 128)",3,284,649,1.1216860773544113e-11
45,sdc_newton,allencahn,1e-12,0.0005,4,"(128, 128)",5,284,671,1.1216805262392882e-11
46,sdc_newton,allencahn,1e-12,0.0005,4,"(128, 128)",10,284,672,1.1216805262392882e-11
47,sdc_newton,allencahn,1e-12,0.0005,4,"(128, 128)",20,284,672,1.1216805262392882e-11
48,sdc_newton,allencahn,1e-12,0.0005,4,"(256, 256)",1,284,284,1.1202705429980142e-11
49,sdc_newton,allencahn,1e-12,0.0005,4,"(256, 256)",2,284,568,1.1188439064113709e-11
50,sdc_newton,allencahn,1e-12,0.0005,4,"(256, 256)",3,284,653,1.1188341919599054e-11
51,sdc_newton,allencahn,1e-12,0.0005,4,"(256, 256)",5,284,687,1.1188258652872207e-11
52,sdc_newton,allencahn,1e-12,0.0005,4,"(256, 256)",10,284,688,1.1188258652872207e-11
53,sdc_newton,allencahn,1e-12,0.0005,4,"(256, 256)",20,284,688,1.1188258652872207e-11
54,sdc_newton,allencahn,1e-12,0.0005,5,"(64, 64)",1,306,306,2.851052727237402e-13
55,sdc_newton,allencahn,1e-12,0.0005,5,"(64, 64)",2,289,578,5.539457781367219e-13
56,sdc_newton,allencahn,1e-12,0.0005,5,"(64, 64)",3,289,642,5.540012892879531e-13
57,sdc_newton,allencahn,1e-12,0.0005,5,"(64, 64)",5,289,664,5.540012892879531e-13
58,sdc_newton,allencahn,1e-12,0.0005,5,"(64, 64)",10,289,665,5.540012892879531e-13
59,sdc_newton,allencahn,1e-12,0.0005,5,"(64, 64)",20,289,665,5.540012892879531e-13
60,sdc_newton,allencahn,1e-12,0.0005,5,"(128, 128)",1,309,309,3.383959779057477e-13
61,sdc_newton,allencahn,1e-12,0.0005,5,"(128, 128)",2,301,602,1.6342482922482304e-13
62,sdc_newton,allencahn,1e-12,0.0005,5,"(128, 128)",3,301,710,1.6409096303959814e-13
63,sdc_newton,allencahn,1e-12,0.0005,5,"(128, 128)",5,301,732,1.637578961322106e-13
64,sdc_newton,allencahn,1e-12,0.0005,5,"(128, 128)",10,301,733,1.637578961322106e-13
65,sdc_newton,allencahn,1e-12,0.0005,5,"(128, 128)",20,301,733,1.637578961322106e-13
66,sdc_newton,allencahn,1e-12,0.0005,5,"(256, 256)",1,310,310,3.58268970046538e-13
67,sdc_newton,allencahn,1e-12,0.0005,5,"(256, 256)",2,307,614,1.8129941992128806e-13
68,sdc_newton,allencahn,1e-12,0.0005,5,"(256, 256)",3,307,730,1.8129941992128806e-13
69,sdc_newton,allencahn,1e-12,0.0005,5,"(256, 256)",5,307,752,1.8107737531636303e-13
70,sdc_newton,allencahn,1e-12,0.0005,5,"(256, 256)",10,307,753,1.8107737531636303e-13
71,sdc_newton,allencahn,1e-12,0.0005,5,"(256, 256)",20,307,753,1.8107737531636303e-13
72,sdc_newton,allencahn,1e-12,5e-05,2,"(64, 64)",1,1216,1216,2.559952472225291e-09
73,sdc_newton,allencahn,1e-12,5e-05,2,"(64, 64)",2,1217,2434,2.5599291575417737e-09
74,sdc_newton,allencahn,1e-12,5e-05,2,"(64, 64)",3,1217,2697,2.5599291575417737e-09
75,sdc_newton,allencahn,1e-12,5e-05,2,"(64, 64)",5,1217,2699,2.5599290465194713e-09
76,sdc_newton,allencahn,1e-12,5e-05,2,"(64, 64)",10,1217,2699,2.5599290465194713e-09
77,sdc_newton,allencahn,1e-12,5e-05,2,"(64, 64)",20,1217,2699,2.5599290465194713e-09
78,sdc_newton,allencahn,1e-12,5e-05,2,"(128, 128)",1,1216,1216,2.535353926802486e-09
79,sdc_newton,allencahn,1e-12,5e-05,2,"(128, 128)",2,1216,2432,2.5353230626024015e-09
80,sdc_newton,allencahn,1e-12,5e-05,2,"(128, 128)",3,1216,2693,2.5353230626024015e-09
81,sdc_newton,allencahn,1e-12,5e-05,2,"(128, 128)",5,1216,2695,2.5353230626024015e-09
82,sdc_newton,allencahn,1e-12,5e-05,2,"(128, 128)",10,1216,2695,2.5353230626024015e-09
83,sdc_newton,allencahn,1e-12,5e-05,2,"(128, 128)",20,1216,2695,2.5353230626024015e-09
84,sdc_newton,allencahn,1e-12,5e-05,2,"(256, 256)",1,1216,1216,2.532586473869003e-09
85,sdc_newton,allencahn,1e-12,5e-05,2,"(256, 256)",2,1216,2432,2.5325528341113568e-09
86,sdc_newton,allencahn,1e-12,5e-05,2,"(256, 256)",3,1216,2695,2.5325528341113568e-09
87,sdc_newton,allencahn,1e-12,5e-05,2,"(256, 256)",5,1216,2701,2.5325528341113568e-09
88,sdc_newton,allencahn,1e-12,5e-05,2,"(256, 256)",10,1216,2701,2.5325528341113568e-09
89,sdc_newton,allencahn,1e-12,5e-05,2,"(256, 256)",20,1216,2701,2.5325528341113568e-09
90,sdc_newton,allencahn,1e-12,5e-05,3,"(64, 64)",1,1226,1226,6.823985820858525e-13
91,sdc_newton,allencahn,1e-12,5e-05,3,"(64, 64)",2,1226,2452,5.54833956556422e-13
92,sdc_newton,allencahn,1e-12,5e-05,3,"(64, 64)",3,1226,2802,5.548894677076532e-13
93,sdc_newton,allencahn,1e-12,5e-05,3,"(64, 64)",5,1226,2804,5.54833956556422e-13
94,sdc_newton,allencahn,1e-12,5e-05,3,"(64, 64)",10,1226,2804,5.54833956556422e-13
95,sdc_newton,allencahn,1e-12,5e-05,3,"(64, 64)",20,1226,2804,5.54833956556422e-13
96,sdc_newton,allencahn,1e-12,5e-05,3,"(128, 128)",1,1230,1230,9.141576384763539e-13
97,sdc_newton,allencahn,1e-12,5e-05,3,"(128, 128)",2,1230,2460,7.299438831154248e-13
98,sdc_newton,allencahn,1e-12,5e-05,3,"(128, 128)",3,1230,2804,7.299716386910404e-13
99,sdc_newton,allencahn,1e-12,5e-05,3,"(128, 128)",5,1230,2806,7.299438831154248e-13
100,sdc_newton,allencahn,1e-12,5e-05,3,"(128, 128)",10,1230,2806,7.299438831154248e-13
101,sdc_newton,allencahn,1e-12,5e-05,3,"(128, 128)",20,1230,2806,7.299438831154248e-13
102,sdc_newton,allencahn,1e-12,5e-05,3,"(256, 256)",1,1228,1228,9.947598300641403e-13
103,sdc_newton,allencahn,1e-12,5e-05,3,"(256, 256)",2,1228,2456,7.986944439153376e-13
104,sdc_newton,allencahn,1e-12,5e-05,3,"(256, 256)",3,1228,2805,7.986111771884907e-13
105,sdc_newton,allencahn,1e-12,5e-05,3,"(256, 256)",5,1228,2807,7.986389327641064e-13
106,sdc_newton,allencahn,1e-12,5e-05,3,"(256, 256)",10,1228,2807,7.986389327641064e-13
107,sdc_newton,allencahn,1e-12,5e-05,3,"(256, 256)",20,1228,2807,7.986389327641064e-13
108,sdc_newton,allencahn,1e-12,5e-05,4,"(64, 64)",1,1034,1034,2.4962809597184332e-12
109,sdc_newton,allencahn,1e-12,5e-05,4,"(64, 64)",2,1035,2070,2.65104604935118e-12
110,sdc_newton,allencahn,1e-12,5e-05,4,"(64, 64)",3,1035,2433,2.6509905381999488e-12
111,sdc_newton,allencahn,1e-12,5e-05,4,"(64, 64)",5,1035,2435,2.65104604935118e-12
112,sdc_newton,allencahn,1e-12,5e-05,4,"(64, 64)",10,1035,2435,2.65104604935118e-12
113,sdc_newton,allencahn,1e-12,5e-05,4,"(64, 64)",20,1035,2435,2.65104604935118e-12
114,sdc_newton,allencahn,1e-12,5e-05,4,"(128, 128)",1,1039,1039,2.587985381552471e-12
115,sdc_newton,allencahn,1e-12,5e-05,4,"(128, 128)",2,1039,2078,2.771172180615622e-12
116,sdc_newton,allencahn,1e-12,5e-05,4,"(128, 128)",3,1039,2433,2.7711166694643907e-12
117,sdc_newton,allencahn,1e-12,5e-05,4,"(128, 128)",5,1039,2435,2.7711166694643907e-12
118,sdc_newton,allencahn,1e-12,5e-05,4,"(128, 128)",10,1039,2435,2.7711166694643907e-12
119,sdc_newton,allencahn,1e-12,5e-05,4,"(128, 128)",20,1039,2435,2.7711166694643907e-12
120,sdc_newton,allencahn,1e-12,5e-05,4,"(256, 256)",1,1041,1041,2.628453010800058e-12
121,sdc_newton,allencahn,1e-12,5e-05,4,"(256, 256)",2,1041,2082,2.8291813336522864e-12
122,sdc_newton,allencahn,1e-12,5e-05,4,"(256, 256)",3,1041,2439,2.8291813336522864e-12
123,sdc_newton,allencahn,1e-12,5e-05,4,"(256, 256)",5,1041,2441,2.8291813336522864e-12
124,sdc_newton,allencahn,1e-12,5e-05,4,"(256, 256)",10,1041,2441,2.8291813336522864e-12
125,sdc_newton,allencahn,1e-12,5e-05,4,"(256, 256)",20,1041,2441,2.8291813336522864e-12
126,sdc_newton,allencahn,1e-12,5e-05,5,"(64, 64)",1,1027,1027,2.27945440300914e-12
