,method,problem,tol,dt,quad_nodes,nvars,new_max,sdc_sum,new_sum,norm
0,sdc_newton,fisher,1e-12,0.005,2,63,1,180,160,2.455580209242969e-05
1,sdc_newton,fisher,1e-12,0.005,2,63,2,180,320,2.4555802092457446e-05
2,sdc_newton,fisher,1e-12,0.005,2,63,3,180,379,2.455580209242969e-05
3,sdc_newton,fisher,1e-12,0.005,2,63,5,180,399,2.455580209242969e-05
4,sdc_newton,fisher,1e-12,0.005,2,63,10,180,399,2.455580209242969e-05
5,sdc_newton,fisher,1e-12,0.005,2,63,30,180,399,2.455580209242969e-05
6,sdc_newton,fisher,1e-12,0.005,2,127,1,220,200,6.162530351072615e-06
7,sdc_newton,fisher,1e-12,0.005,2,127,2,220,400,6.162530351017104e-06
8,sdc_newton,fisher,1e-12,0.005,2,127,3,220,479,6.162530351017104e-06
9,sdc_newton,fisher,1e-12,0.005,2,127,5,220,499,6.162530351017104e-06
10,sdc_newton,fisher,1e-12,0.005,2,127,10,220,499,6.162530351017104e-06
11,sdc_newton,fisher,1e-12,0.005,2,127,30,220,499,6.162530351017104e-06
12,sdc_newton,fisher,1e-12,0.005,2,255,1,228,208,1.5421665116310823e-06
13,sdc_newton,fisher,1e-12,0.005,2,255,2,228,416,1.5421665116865935e-06
14,sdc_newton,fisher,1e-12,0.005,2,255,3,228,515,1.5421665116310823e-06
15,sdc_newton,fisher,1e-12,0.005,2,255,5,228,535,1.5421665116310823e-06
16,sdc_newton,fisher,1e-12,0.005,2,255,10,228,535,1.5421665116310823e-06
17,sdc_newton,fisher,1e-12,0.005,2,255,30,228,535,1.5421665116310823e-06
18,sdc_newton,fisher,1e-12,0.005,3,63,1,199,179,2.4554902495865782e-05
19,sdc_newton,fisher,1e-12,0.005,3,63,2,199,358,2.4554902495865782e-05
20,sdc_newton,fisher,1e-12,0.005,3,63,3,199,398,2.4554902495865782e-05
21,sdc_newton,fisher,1e-12,0.005,3,63,5,199,418,2.4554902495865782e-05
22,sdc_newton,fisher,1e-12,0.005,3,63,10,199,418,2.4554902495865782e-05
23,sdc_newton,fisher,1e-12,0.005,3,63,30,199,418,2.4554902495865782e-05
24,sdc_newton,fisher,1e-12,0.005,3,127,1,259,239,6.161686427919033e-06
25,sdc_newton,fisher,1e-12,0.005,3,127,2,259,478,6.1616864278912775e-06
26,sdc_newton,fisher,1e-12,0.005,3,127,3,259,577,6.1616864278912775e-06
27,sdc_newton,fisher,1e-12,0.005,3,127,5,259,597,6.1616864278912775e-06
28,sdc_newton,fisher,1e-12,0.005,3,127,10,259,597,6.1616864278912775e-06
29,sdc_newton,fisher,1e-12,0.005,3,127,30,259,597,6.1616864278912775e-06
30,sdc_newton,fisher,1e-12,0.005,3,255,1,279,259,1.5412943786541344e-06
31,sdc_newton,fisher,1e-12,0.005,3,255,2,279,518,1.5412943786541344e-06
32,sdc_newton,fisher,1e-12,0.005,3,255,3,279,637,1.5412943786541344e-06
33,sdc_newton,fisher,1e-12,0.005,3,255,5,279,657,1.5412943786541344e-06
34,sdc_newton,fisher,1e-12,0.005,3,255,10,279,657,1.5412943786541344e-06
35,sdc_newton,fisher,1e-12,0.005,3,255,30,279,657,1.5412943786541344e-06
36,sdc_newton,fisher,1e-12,0.005,4,63,1,179,159,2.4554902477769147e-05
37,sdc_newton,fisher,1e-12,0.005,4,63,2,179,318,2.4554902477796903e-05
38,sdc_newton,fisher,1e-12,0.005,4,63,3,179,377,2.4554902477796903e-05
39,sdc_newton,fisher,1e-12,0.005,4,63,5,179,377,2.4554902477796903e-05
40,sdc_newton,fisher,1e-12,0.005,4,63,10,179,377,2.4554902477796903e-05
41,sdc_newton,fisher,1e-12,0.005,4,63,30,179,377,2.4554902477796903e-05
42,sdc_newton,fisher,1e-12,0.005,4,127,1,297,277,6.161686410571798e-06
43,sdc_newton,fisher,1e-12,0.005,4,127,2,294,548,6.161686410544043e-06
44,sdc_newton,fisher,1e-12,0.005,4,127,3,294,627,6.161686410544043e-06
45,sdc_newton,fisher,1e-12,0.005,4,127,5,294,647,6.161686410544043e-06
46,sdc_newton,fisher,1e-12,0.005,4,127,10,294,647,6.161686410544043e-06
47,sdc_newton,fisher,1e-12,0.005,4,127,30,294,647,6.161686410544043e-06
48,sdc_newton,fisher,1e-12,0.005,4,255,1,338,318,1.5412943607240326e-06
49,sdc_newton,fisher,1e-12,0.005,4,255,2,338,636,1.5412943607795437e-06
50,sdc_newton,fisher,1e-12,0.005,4,255,3,338,790,1.5412943607795437e-06
51,sdc_newton,fisher,1e-12,0.005,4,255,5,338,810,1.5412943607795437e-06
52,sdc_newton,fisher,1e-12,0.005,4,255,10,338,810,1.5412943607795437e-06
53,sdc_newton,fisher,1e-12,0.005,4,255,30,338,810,1.5412943607795437e-06
54,sdc_newton,fisher,1e-12,0.005,5,63,1,179,159,2.4554902477796903e-05
55,sdc_newton,fisher,1e-12,0.005,5,63,2,179,318,2.4554902477769147e-05
56,sdc_newton,fisher,1e-12,0.005,5,63,3,179,377,2.4554902477769147e-05
57,sdc_newton,fisher,1e-12,0.005,5,63,5,179,397,2.4554902477769147e-05
58,sdc_newton,fisher,1e-12,0.005,5,63,10,179,397,2.4554902477769147e-05
59,sdc_newton,fisher,1e-12,0.005,5,63,30,179,397,2.4554902477769147e-05
60,sdc_newton,fisher,1e-12,0.005,5,127,1,285,265,6.161686410516287e-06
61,sdc_newton,fisher,1e-12,0.005,5,127,2,295,550,6.161686410516287e-06
62,sdc_newton,fisher,1e-12,0.005,5,127,3,295,632,6.161686410544043e-06
63,sdc_newton,fisher,1e-12,0.005,5,127,5,295,650,6.161686410544043e-06
64,sdc_newton,fisher,1e-12,0.005,5,127,10,295,650,6.161686410544043e-06
65,sdc_newton,fisher,1e-12,0.005,5,127,30,295,650,6.161686410544043e-06
66,sdc_newton,fisher,1e-12,0.005,5,255,1,378,358,1.5412943607517882e-06
67,sdc_newton,fisher,1e-12,0.005,5,255,2,378,716,1.5412943607517882e-06
68,sdc_newton,fisher,1e-12,0.005,5,255,3,378,892,1.5412943607517882e-06
69,sdc_newton,fisher,1e-12,0.005,5,255,5,378,912,1.5412943607517882e-06
70,sdc_newton,fisher,1e-12,0.005,5,255,10,378,912,1.5412943607517882e-06
71,sdc_newton,fisher,1e-12,0.005,5,255,30,378,912,1.5412943607517882e-06
